Work Item ID,Parent,Work Type,Summary,Planned Owner,Component,Priority,Sprint,Start Date,Deadline,Due Date,Estimated Hours,Original Estimate Seconds,Fix Version,Status,Dependencies,Evidence Path
1000,,Epic,Infrastructure and Project Governance,Khang,infra,P0,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 23:00,2026-07-28,0,0,v0.3-rc,Backlog,,Jira epic Infrastructure and Project Governance
1001,1000,Task,Conduct initial team kickoff meeting,Khang; Dương Huệ Mẫn; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái; Lương Minh Quân,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 09:00,2026-07-12 10:30,2026-07-12,1.5,5400,v0.1-mvp,Done,,planning/meetings/2026-07-12-kickoff.md
1002,1001,Sub-task,"Confirm scope, fixed models, and non-goals",Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 09:10,2026-07-12 09:30,2026-07-12,0.3,1080,v0.1-mvp,Selected for Development,1001,planning/meetings/2026-07-12-kickoff.md
1003,1001,Sub-task,Confirm role ownership and reviewer responsibilities,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 09:30,2026-07-12 09:50,2026-07-12,0.3,1080,v0.1-mvp,Selected for Development,1001,planning/meetings/2026-07-12-kickoff.md
1004,1001,Sub-task,Confirm team cadence and communication rules,Khang,infra,P1,Sprint 0 - Kickoff and Setup,2026-07-12 09:50,2026-07-12 10:10,2026-07-12,0.3,1080,v0.1-mvp,Selected for Development,1001,planning/meetings/2026-07-12-kickoff.md
1005,1000,Task,Create GitHub organization and repository,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 10:30,2026-07-12 14:00,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1001,GitHub repository URL recorded in README and Jira project links
1006,1005,Sub-task,Configure protected main branch and merge policy,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 14:00,2026-07-12 16:00,2026-07-12,1.0,3600,v0.1-mvp,Selected for Development,1005,Repository branch protection screenshot or link
1007,1000,Task,Create Jira Scrum project MOR,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 10:30,2026-07-12 15:30,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1001,Jira project URL recorded in README and planning/jira/README.md
1008,1007,Sub-task,"Create sprints, versions, components, and workflow statuses",Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 15:30,2026-07-12 17:30,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1007,Jira configuration screenshot
1009,1007,Sub-task,Import detailed Scrum backlog from CSV,Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 17:30,2026-07-12 19:30,2026-07-12,1.5,5400,v0.1-mvp,Selected for Development,1008,Jira import log and imported backlog
1010,1000,Task,Verify VS Code Dev Container on every machine,Lương Minh Quân; Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-12 16:00,2026-07-13 12:00,2026-07-13,3.0,10800,v0.1-mvp,Selected for Development,1005,planning/setup/team_environment_signoff.csv
1011,1010,Sub-task,Record environment sign-off for all members,Lương Minh Quân,infra,P1,Sprint 0 - Kickoff and Setup,2026-07-13 12:00,2026-07-13 16:00,2026-07-13,1.0,3600,v0.1-mvp,Selected for Development,1010,planning/setup/team_environment_signoff.csv
1012,1000,Task,Upload and register original competition statement,Khang,docs,P0,Sprint 0 - Kickoff and Setup,2026-07-12 14:00,2026-07-13 10:00,2026-07-13,1.0,3600,v0.1-mvp,Selected for Development,1005,docs/problem_statement/original/
1013,1000,Task,"Freeze architecture, schema, and module contracts v0",Khang,infra,P0,Sprint 0 - Kickoff and Setup,2026-07-13 08:00,2026-07-14 18:00,2026-07-14,5.0,18000,v0.1-mvp,Selected for Development,1001,docs/13_api_spec.md and schemas/
1014,1000,Task,Maintain daily coordination and blocker triage,Khang,infra,P0,Sprint 5 - Release Candidate,2026-07-13 08:00,2026-07-28 22:30,2026-07-28,16.0,57600,v0.3-rc,Backlog,1007,"Jira board, meeting notes, and ADRs"
2000,,Epic,Data and Ontology Knowledge Base,Dương Huệ Mẫn,data,P0,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 20:00,2026-07-28,0,0,v0.3-rc,Backlog,,Jira epic Data and Ontology Knowledge Base
2001,2000,Task,Acquire official Vietnamese ICD-10 source files,Dương Huệ Mẫn,data,P0,Sprint 0 - Kickoff and Setup,2026-07-13 08:00,2026-07-14 18:00,2026-07-14,2.5,9000,v0.1-mvp,Selected for Development,,data/raw/icd10_vi_2026/SOURCE.md
2002,2000,Task,Acquire and pin official RxNorm 2026 release,Dương Huệ Mẫn,data,P0,Sprint 0 - Kickoff and Setup,2026-07-13 10:00,2026-07-14 21:00,2026-07-14,3.0,10800,v0.1-mvp,Selected for Development,,data/raw/rxnorm_2026/SOURCE.md
2003,2000,Task,Define normalized ontology schemas and parser contracts,Dương Huệ Mẫn; Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-14 08:00,2026-07-15 11:00,2026-07-15,3.0,10800,v0.1-mvp,Backlog,1013; 2001; 2002,schemas/alias.schema.json and docs/06_data_workflow_and_sources.md
2004,2000,Task,Implement Vietnamese ICD-10 parser,Dương Huệ Mẫn; Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 08:00,2026-07-15 23:00,2026-07-15,7.0,25200,v0.1-mvp,Backlog,2001; 2003,scripts/parse_icd10_vi.py and data/processed/icd10_vi_codes_full.jsonl
2005,2004,Sub-task,Write ICD source-column and hierarchy specification,Dương Huệ Mẫn,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 08:00,2026-07-15 12:00,2026-07-15,2.0,7200,v0.1-mvp,Backlog,2001; 2003,docs/06_data_workflow_and_sources.md
2006,2004,Sub-task,Code ICD parser and JSONL writer,Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 12:00,2026-07-15 20:00,2026-07-15,4.0,14400,v0.1-mvp,Backlog,2005,scripts/parse_icd10_vi.py
2007,2004,Sub-task,Verify ICD parser samples and counts,Dương Huệ Mẫn,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 20:00,2026-07-15 23:00,2026-07-15,1.5,5400,v0.1-mvp,Backlog,2006,experiments/icd_parser_validation.md
2008,2000,Task,Implement RxNorm 2026 RRF parser,Dương Huệ Mẫn; Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 13:00,2026-07-16 23:00,2026-07-16,8.0,28800,v0.1-mvp,Backlog,2002; 2003,scripts/parse_rxnorm_2026.py and data/processed/rxnorm_2026_concepts_full.jsonl
2009,2008,Sub-task,Approve RxNorm TTY and suppression filters,Dương Huệ Mẫn,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 13:00,2026-07-16 11:00,2026-07-16,2.0,7200,v0.1-mvp,Backlog,2002,docs/06_data_workflow_and_sources.md
2010,2008,Sub-task,Code RxNorm RRF parser and writer,Lương Minh Quân,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-16 11:00,2026-07-16 20:00,2026-07-16,4.5,16200,v0.1-mvp,Backlog,2009,scripts/parse_rxnorm_2026.py
2011,2008,Sub-task,Verify RxNorm samples and record counts,Dương Huệ Mẫn,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-16 20:00,2026-07-16 23:00,2026-07-16,1.5,5400,v0.1-mvp,Backlog,2010,experiments/rxnorm_parser_validation.md
2012,2000,Task,Select core ICD and RxNorm project scope,Dương Huệ Mẫn; Khang,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-16 20:00,2026-07-17 15:00,2026-07-17,3.0,10800,v0.1-mvp,Backlog,2007; 2011,data/processed/icd10_vi_codes_core.jsonl and data/processed/rxnorm_2026_codes_core.jsonl
2013,2000,Task,Generate ICD and RxNorm aliases,Dương Huệ Mẫn; Lương Minh Quân,data,P0,Sprint 2 - Retrieval Baselines,2026-07-17 15:00,2026-07-18 20:00,2026-07-18,7.0,25200,v0.2-core,Backlog,2012,data/processed/icd10_vi_aliases_core.jsonl and data/processed/rxnorm_2026_aliases_core.jsonl
2014,2013,Sub-task,Specify safe and unsafe alias transformations,Dương Huệ Mẫn,data,P0,Sprint 1 - Data and Extraction MVP,2026-07-17 15:00,2026-07-17 20:00,2026-07-17,2.0,7200,v0.1-mvp,Backlog,2012,docs/06_data_workflow_and_sources.md
2015,2013,Sub-task,Code ICD alias generator,Lương Minh Quân,data,P0,Sprint 2 - Retrieval Baselines,2026-07-18 08:00,2026-07-18 13:00,2026-07-18,2.5,9000,v0.2-core,Backlog,2014,scripts/generate_icd_aliases.py
2016,2013,Sub-task,Code RxNorm alias generator,Lương Minh Quân,data,P0,Sprint 2 - Retrieval Baselines,2026-07-18 10:00,2026-07-18 16:00,2026-07-18,3.0,10800,v0.2-core,Backlog,2014,scripts/generate_rxnorm_aliases.py
2017,2013,Sub-task,Review alias quality and split weak aliases,Dương Huệ Mẫn,data,P0,Sprint 2 - Retrieval Baselines,2026-07-18 16:00,2026-07-18 20:00,2026-07-18,2.0,7200,v0.2-core,Backlog,2015; 2016,data/candidates/weak_aliases.jsonl
2018,2000,Task,Validate data and provenance release v0,Dương Huệ Mẫn; Nguyễn Hoàng Thái,data,P0,Sprint 2 - Retrieval Baselines,2026-07-18 20:00,2026-07-19 20:00,2026-07-19,5.0,18000,v0.2-core,Backlog,2013,scripts/validate_aliases.py and experiments/data_validation_v0.md
2019,2000,Task,Maintain ontology data from error analysis,Dương Huệ Mẫn; Nguyễn Hoàng Thái,data,P1,Sprint 5 - Release Candidate,2026-07-20 08:00,2026-07-28 20:00,2026-07-28,9.0,32400,v0.3-rc,Backlog,2018,data/changelog.md and experiments/error_analysis.md
3000,,Epic,Entity Extraction and Assertions,Khang; Võ Huỳnh Quốc Thái,model,P0,Sprint 4 - Hardening and Demo,2026-07-12 09:00,2026-07-25 20:00,2026-07-25,0,0,v0.3-rc,Backlog,,Jira epic Entity Extraction and Assertions
3001,3000,Task,Finalize extraction and assertion specification,Khang; Võ Huỳnh Quốc Thái,model,P0,Sprint 1 - Data and Extraction MVP,2026-07-14 08:00,2026-07-15 18:00,2026-07-15,4.0,14400,v0.1-mvp,Backlog,1013,docs/07_model_workflow.md and docs/problem_statement/derived/output_schema.md
3002,3000,Task,Implement Ollama model client,Võ Huỳnh Quốc Thái,model,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 10:00,2026-07-16 18:00,2026-07-16,4.0,14400,v0.1-mvp,Backlog,1013,src/medical_ontology/clients/ollama_client.py
3003,3000,Task,Implement rule-based entity extractor,Võ Huỳnh Quốc Thái; Khang,model,P0,Sprint 2 - Retrieval Baselines,2026-07-16 18:00,2026-07-18 20:00,2026-07-18,6.0,21600,v0.2-core,Backlog,3001; 2003,src/medical_ontology/extraction/rule_extractor.py and label_rules.py
3004,3003,Sub-task,Specify extraction patterns and precedence,Khang,model,P0,Sprint 1 - Data and Extraction MVP,2026-07-16 18:00,2026-07-17 12:00,2026-07-17,2.0,7200,v0.1-mvp,Backlog,3001,docs/07_model_workflow.md
3005,3003,Sub-task,Code rule extractor and hint generation,Võ Huỳnh Quốc Thái,model,P0,Sprint 2 - Retrieval Baselines,2026-07-17 12:00,2026-07-18 16:00,2026-07-18,3.5,12600,v0.2-core,Backlog,3004,src/medical_ontology/extraction/rule_extractor.py
3006,3003,Sub-task,Review rule conflicts and false-positive risks,Khang,model,P0,Sprint 2 - Retrieval Baselines,2026-07-18 16:00,2026-07-18 20:00,2026-07-18,1.5,5400,v0.2-core,Backlog,3005,experiments/rule_extractor_review.md
3007,3000,Task,Implement LLM entity extractor and prompt builder,Khang; Võ Huỳnh Quốc Thái,model,P0,Sprint 2 - Retrieval Baselines,2026-07-18 08:00,2026-07-19 20:00,2026-07-19,6.0,21600,v0.2-core,Backlog,3001; 3002; 3003,src/medical_ontology/extraction/llm_extractor.py and prompts/
3008,3000,Task,Implement assertion post-processing,Khang; Võ Huỳnh Quốc Thái,model,P1,Sprint 2 - Retrieval Baselines,2026-07-19 13:00,2026-07-20 16:00,2026-07-20,4.0,14400,v0.2-core,Backlog,3007,src/medical_ontology/extraction/assertion_detector.py
3009,3000,Task,Complete extraction baseline integration,Khang; Lương Minh Quân; Võ Huỳnh Quốc Thái,model,P0,Sprint 3 - Core Integration,2026-07-20 16:00,2026-07-21 18:00,2026-07-21,5.0,18000,v0.2-core,Backlog,3003; 3007; 3008,src/medical_ontology/pipeline/infer_pipeline.py extraction stage
4000,,Epic,Hybrid Retrieval and Candidate Mapping,Võ Huỳnh Quốc Thái,model,P0,Sprint 4 - Hardening and Demo,2026-07-12 09:00,2026-07-26 18:00,2026-07-26,0,0,v0.3-rc,Backlog,,Jira epic Hybrid Retrieval and Candidate Mapping
4001,4000,Task,Implement embedding client wrapper and vector normalization,Võ Huỳnh Quốc Thái,model,P0,Sprint 2 - Retrieval Baselines,2026-07-17 08:00,2026-07-18 13:00,2026-07-18,4.0,14400,v0.2-core,Backlog,3002; 2013,src/medical_ontology/retrieval/embeddings.py
4002,4000,Task,Implement exact dense search baseline,Võ Huỳnh Quốc Thái,model,P0,Sprint 2 - Retrieval Baselines,2026-07-18 13:00,2026-07-19 23:00,2026-07-19,6.0,21600,v0.2-core,Backlog,4001,src/medical_ontology/retrieval/exact_search.py and dense_search.py
4003,4000,Task,Implement shared lexical normalization and tokenizer,Võ Huỳnh Quốc Thái,model,P0,Sprint 2 - Retrieval Baselines,2026-07-18 08:00,2026-07-19 12:00,2026-07-19,3.0,10800,v0.2-core,Backlog,2003,src/medical_ontology/data/normalization.py
4004,4000,Task,Implement TF-IDF and character n-gram retrieval,Võ Huỳnh Quốc Thái,model,P0,Sprint 2 - Retrieval Baselines,2026-07-19 12:00,2026-07-20 14:00,2026-07-20,5.0,18000,v0.2-core,Backlog,4003; 2018,src/medical_ontology/retrieval/tfidf.py and sparse_search.py
4005,4000,Task,Implement BM25 retrieval,Võ Huỳnh Quốc Thái,model,P1,Sprint 2 - Retrieval Baselines,2026-07-19 15:00,2026-07-20 20:00,2026-07-20,5.0,18000,v0.2-core,Backlog,4003; 2018,src/medical_ontology/retrieval/bm25.py
4006,4000,Task,Implement alias-to-code grouping and Reciprocal Rank Fusion,Võ Huỳnh Quốc Thái,model,P0,Sprint 3 - Core Integration,2026-07-20 20:00,2026-07-21 15:00,2026-07-21,4.0,14400,v0.2-core,Backlog,4002; 4004; 4005,src/medical_ontology/retrieval/rrf.py and mapping/candidate_ranker.py
4007,4000,Task,Implement ICD/RxNorm code mapper and routing,Võ Huỳnh Quốc Thái; Lương Minh Quân,model,P0,Sprint 3 - Core Integration,2026-07-21 12:00,2026-07-22 17:00,2026-07-22,5.0,18000,v0.2-core,Backlog,4006; 2018,src/medical_ontology/mapping/code_mapper.py
4008,4000,Task,"Benchmark dense, sparse, and hybrid retrieval baselines",Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái,model,P0,Sprint 3 - Core Integration,2026-07-21 15:00,2026-07-22 22:00,2026-07-22,5.0,18000,v0.2-core,Backlog,4007; 7004,experiments/retrieval_baseline_results.csv and experiments/ablation.md
4009,4000,Task,Decide whether to implement constrained LLM reranker,Khang; Võ Huỳnh Quốc Thái,model,P2,Sprint 4 - Hardening and Demo,2026-07-24 18:00,2026-07-25 12:00,2026-07-25,1.5,5400,v0.3-rc,Backlog,4008; 5007,docs/adr/0005-llm-reranker-decision.md
5000,,Epic,Self-Coded HNSW Search,Võ Huỳnh Quốc Thái,model,P0,Sprint 4 - Hardening and Demo,2026-07-12 09:00,2026-07-24 22:00,2026-07-24,0,0,v0.3-rc,Backlog,,Jira epic Self-Coded HNSW Search
5001,5000,Task,Write HNSW design and invariants,Võ Huỳnh Quốc Thái; Khang,model,P0,Sprint 3 - Core Integration,2026-07-21 08:00,2026-07-22 10:00,2026-07-22,3.0,10800,v0.2-core,Backlog,4002,docs/hnsw_design.md
5002,5000,Task,Implement HNSW core data structures and random levels,Võ Huỳnh Quốc Thái,model,P0,Sprint 3 - Core Integration,2026-07-22 10:00,2026-07-22 13:00,2026-07-22,3.0,10800,v0.2-core,Backlog,5001,src/medical_ontology/retrieval/hnsw.py
5003,5000,Task,Implement greedy descent and search-layer algorithm,Võ Huỳnh Quốc Thái,model,P0,Sprint 3 - Core Integration,2026-07-22 13:00,2026-07-22 22:00,2026-07-22,5.0,18000,v0.2-core,Backlog,5002,src/medical_ontology/retrieval/hnsw.py
5004,5000,Task,Implement insertion and bidirectional connections,Võ Huỳnh Quốc Thái,model,P0,Sprint 3 - Core Integration,2026-07-23 08:00,2026-07-23 17:00,2026-07-23,5.0,18000,v0.2-core,Backlog,5003,src/medical_ontology/retrieval/hnsw.py
5005,5000,Task,Implement neighbor selection and pruning,Võ Huỳnh Quốc Thái,model,P0,Sprint 3 - Core Integration,2026-07-23 17:00,2026-07-23 23:00,2026-07-23,4.0,14400,v0.2-core,Backlog,5004,src/medical_ontology/retrieval/hnsw.py
5006,5000,Task,Review HNSW correctness and API,Khang,model,P0,Sprint 4 - Hardening and Demo,2026-07-24 08:00,2026-07-24 12:00,2026-07-24,3.0,10800,v0.3-rc,Backlog,5005,experiments/hnsw_design_review.md
5007,5000,Task,Benchmark exact search versus HNSW,Nguyễn Hoàng Thái; Võ Huỳnh Quốc Thái,qa,P0,Sprint 4 - Hardening and Demo,2026-07-24 12:00,2026-07-24 22:00,2026-07-24,5.0,18000,v0.3-rc,Backlog,5006; 7004,experiments/hnsw_results.csv and docs/adr/0006-hnsw-use-decision.md
6000,,Epic,End-to-End Pipeline and Demo,Lương Minh Quân,pipeline,P0,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 23:00,2026-07-28,0,0,v0.3-rc,Backlog,,Jira epic End-to-End Pipeline and Demo
6001,6000,Task,Implement configuration loading and typed schemas,Lương Minh Quân; Khang,pipeline,P0,Sprint 1 - Data and Extraction MVP,2026-07-14 08:00,2026-07-15 18:00,2026-07-15,5.0,18000,v0.1-mvp,Backlog,1013,src/medical_ontology/config.py and schema.py
6002,6000,Task,Implement data loaders and artifact IO contracts,Lương Minh Quân,pipeline,P0,Sprint 1 - Data and Extraction MVP,2026-07-15 08:00,2026-07-16 18:00,2026-07-16,5.0,18000,v0.1-mvp,Backlog,6001; 2003,src/medical_ontology/data/loaders.py and utils/io.py
6003,6000,Task,Implement preprocessing and source-text preservation,Lương Minh Quân,pipeline,P0,Sprint 1 - Data and Extraction MVP,2026-07-16 08:00,2026-07-17 18:00,2026-07-17,4.0,14400,v0.1-mvp,Backlog,6001,src/medical_ontology/utils/text.py and pipeline preprocessing stage
6004,6000,Task,Implement entity merge and overlap resolution,Lương Minh Quân; Khang,pipeline,P0,Sprint 2 - Retrieval Baselines,2026-07-19 08:00,2026-07-20 18:00,2026-07-20,5.0,18000,v0.2-core,Backlog,3003; 3007; 6003,src/medical_ontology/pipeline/merge_entities.py
6005,6000,Task,Implement span alignment and entity validation,Lương Minh Quân; Nguyễn Hoàng Thái,pipeline,P0,Sprint 3 - Core Integration,2026-07-19 12:00,2026-07-21 12:00,2026-07-21,6.0,21600,v0.2-core,Backlog,6003; 7001,src/medical_ontology/validation/span_aligner.py and schema_validator.py
6006,6000,Task,Implement mapping orchestration and candidate validation,Lương Minh Quân; Võ Huỳnh Quốc Thái,pipeline,P0,Sprint 3 - Core Integration,2026-07-21 12:00,2026-07-23 18:00,2026-07-23,6.0,21600,v0.2-core,Backlog,4007; 6005,src/medical_ontology/pipeline/mapping_step.py and validation/candidate_validator.py
6007,6000,Task,Implement final formatter and command-line inference,Lương Minh Quân,pipeline,P0,Sprint 4 - Hardening and Demo,2026-07-22 08:00,2026-07-24 18:00,2026-07-24,7.0,25200,v0.3-rc,Backlog,6006,src/medical_ontology/infer.py and pipeline/formatter.py
6008,6000,Task,Complete end-to-end MVP integration,Khang; Lương Minh Quân; Võ Huỳnh Quốc Thái,pipeline,P0,Sprint 3 - Core Integration,2026-07-21 08:00,2026-07-21 23:00,2026-07-21,7.0,25200,v0.2-core,Backlog,3009; 4007; 6005,experiments/e2e_mvp_results.md
6009,6000,Task,"Implement index build, save, load, and cache orchestration",Lương Minh Quân; Võ Huỳnh Quốc Thái,pipeline,P1,Sprint 4 - Hardening and Demo,2026-07-22 08:00,2026-07-24 20:00,2026-07-24,6.0,21600,v0.3-rc,Backlog,4002; 4004; 4005; 2018,src/medical_ontology/indexing/ and scripts/build_indexes.py
6010,6000,Task,Implement Streamlit demo shell and result views,Lương Minh Quân,demo,P1,Sprint 4 - Hardening and Demo,2026-07-23 12:00,2026-07-25 20:00,2026-07-25,6.0,21600,v0.3-rc,Backlog,6007; 6008,app.py
6011,6000,Task,Complete Colab Ollama and Streamlit runtime notebook,Lương Minh Quân; Khang,demo,P1,Sprint 4 - Hardening and Demo,2026-07-24 08:00,2026-07-25 22:00,2026-07-25,5.0,18000,v0.3-rc,Backlog,6010,notebooks/colab_ollama_streamlit.ipynb
6012,6000,Task,Implement batch packaging for competition output,Lương Minh Quân,pipeline,P0,Sprint 4 - Hardening and Demo,2026-07-25 08:00,2026-07-26 20:00,2026-07-26,4.0,14400,v0.3-rc,Backlog,6007; 7007,scripts/package_output.py
6013,6000,Task,Produce and approve release candidate,Khang; Lương Minh Quân; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái; Dương Huệ Mẫn,pipeline,P0,Sprint 5 - Release Candidate,2026-07-26 20:00,2026-07-27 23:00,2026-07-27,10.0,36000,v0.3-rc,Backlog,6012; 7008; 5007,release/v0.3-rc checklist and Jira release
6014,6000,Task,Freeze code and submission runtime,Khang,pipeline,P0,Sprint 5 - Release Candidate,2026-07-28 08:00,2026-07-28 23:00,2026-07-28,6.0,21600,v0.3-rc,Backlog,6013; 7009,docs/21_release_submission_checklist.md and Git tag
7000,,Epic,"QA, Testing, and Evaluation",Nguyễn Hoàng Thái,qa,P0,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 22:00,2026-07-28,0,0,v0.3-rc,Backlog,,"Jira epic QA, Testing, and Evaluation"
7001,7000,Task,Finalize QA strategy and test architecture,Nguyễn Hoàng Thái; Khang,qa,P0,Sprint 1 - Data and Extraction MVP,2026-07-13 08:00,2026-07-15 12:00,2026-07-15,4.0,14400,v0.1-mvp,Backlog,1013,docs/09_testing_and_qa.md
7002,7000,Task,Create QA fixture structure and unit tests for deterministic utilities,Nguyễn Hoàng Thái,qa,P0,Sprint 2 - Retrieval Baselines,2026-07-15 12:00,2026-07-18 20:00,2026-07-18,8.0,28800,v0.2-core,Backlog,7001; 6001; 6002,tests/unit/ and tests/fixtures/
7003,7000,Task,Create curated mapping query evaluation set,Nguyễn Hoàng Thái; Dương Huệ Mẫn,qa,P0,Sprint 2 - Retrieval Baselines,2026-07-17 08:00,2026-07-20 16:00,2026-07-20,6.0,21600,v0.2-core,Backlog,2012; 7001,data/eval/mapping_queries.jsonl
7004,7000,Task,Implement retrieval metrics and evaluation runner tests,Nguyễn Hoàng Thái; Võ Huỳnh Quốc Thái,qa,P0,Sprint 3 - Core Integration,2026-07-19 08:00,2026-07-21 12:00,2026-07-21,5.0,18000,v0.2-core,Backlog,7001; 7003,src/medical_ontology/evaluation/metrics.py and retrieval_eval.py; tests/unit/test_metrics.py
7005,7000,Task,Create clinical snippets and exact-span ground truth,Nguyễn Hoàng Thái; Dương Huệ Mẫn,qa,P0,Sprint 3 - Core Integration,2026-07-17 08:00,2026-07-22 18:00,2026-07-22,10.0,36000,v0.2-core,Backlog,3001; 7001; 2007; 2011,data/eval/clinical_snippets.jsonl and ground_truth.jsonl
7006,7000,Task,Create integration and end-to-end automated tests,Nguyễn Hoàng Thái,qa,P0,Sprint 4 - Hardening and Demo,2026-07-21 08:00,2026-07-24 18:00,2026-07-24,8.0,28800,v0.3-rc,Backlog,7002; 6008,tests/integration/ and tests/e2e/
7007,7000,Task,Implement final output validator and submission checks,Nguyễn Hoàng Thái; Lương Minh Quân,qa,P0,Sprint 4 - Hardening and Demo,2026-07-23 08:00,2026-07-25 18:00,2026-07-25,6.0,21600,v0.3-rc,Backlog,6007; 7005,src/medical_ontology/validation/output_validator.py and tests/
7008,7000,Task,Run full regression and error-analysis cycle,Nguyễn Hoàng Thái; Dương Huệ Mẫn; Khang,qa,P0,Sprint 4 - Hardening and Demo,2026-07-24 08:00,2026-07-26 22:00,2026-07-26,9.0,32400,v0.3-rc,Backlog,7004; 7005; 7006; 7007,experiments/error_analysis.md and Jira bugs
7009,7000,Task,Perform final release and submission QA,Nguyễn Hoàng Thái; Khang,qa,P0,Sprint 5 - Release Candidate,2026-07-27 08:00,2026-07-28 22:00,2026-07-28,8.0,28800,v0.3-rc,Backlog,6013; 7008,docs/21_release_submission_checklist.md
8000,,Epic,"Report, Slides, Video, and Submission",Khang,docs,P0,Sprint 6 - Final Deliverables,2026-07-12 09:00,2026-08-02 23:00,2026-08-02,0,0,v1.0-submission,Backlog,,"Jira epic Report, Slides, Video, and Submission"
8001,8000,Task,"Maintain report skeleton, source registry, and experiment manifest",Khang; Dương Huệ Mẫn; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái; Lương Minh Quân,docs,P1,Sprint 5 - Release Candidate,2026-07-13 08:00,2026-07-28 20:00,2026-07-28,8.0,28800,v0.3-rc,Backlog,1001,references/ and reports/latex/
8002,8000,Task,"Write problem, data, and methodology sections",Khang; Dương Huệ Mẫn; Võ Huỳnh Quốc Thái; Lương Minh Quân,docs,P0,Sprint 6 - Final Deliverables,2026-07-29 08:00,2026-07-30 22:00,2026-07-30,18.0,64800,v1.0-submission,Backlog,6014; 8001,reports/latex/sections/02_problem.tex through 04_method.tex
8003,8000,Task,"Write experiments, results, limitations, and conclusion",Khang; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái,docs,P0,Sprint 6 - Final Deliverables,2026-07-30 08:00,2026-07-31 22:00,2026-07-31,14.0,50400,v1.0-submission,Backlog,8002; 7009,reports/latex/sections/05_experiments.tex through 08_conclusion.tex
8004,8000,Task,"Create final figures, tables, and architecture diagrams",Khang; Võ Huỳnh Quốc Thái; Nguyễn Hoàng Thái,docs,P1,Sprint 6 - Final Deliverables,2026-07-29 12:00,2026-07-31 18:00,2026-07-31,10.0,36000,v1.0-submission,Backlog,7009,reports/latex/figures/ and reports/latex/tables/
8005,8000,Task,Build final presentation deck,Khang; all reviewers,docs,P0,Sprint 6 - Final Deliverables,2026-07-31 08:00,2026-08-01 20:00,2026-08-01,10.0,36000,v1.0-submission,Backlog,8003; 8004,slides/pptx/final_presentation.pptx and slides/exports/
8006,8000,Task,Write and rehearse demo video script,Khang; Lương Minh Quân; Nguyễn Hoàng Thái,demo,P1,Sprint 6 - Final Deliverables,2026-07-30 08:00,2026-07-31 18:00,2026-07-31,5.0,18000,v1.0-submission,Backlog,6014; 7009,videos/script.md and videos/demo_checklist.md
8007,8000,Task,Record and edit final demo video,Khang; Lương Minh Quân,demo,P0,Sprint 6 - Final Deliverables,2026-08-01 08:00,2026-08-02 16:00,2026-08-02,8.0,28800,v1.0-submission,Backlog,8006,videos/final/
8008,8000,Task,Perform final documentation and repository audit,Khang; Nguyễn Hoàng Thái,docs,P0,Sprint 6 - Final Deliverables,2026-08-01 12:00,2026-08-02 18:00,2026-08-02,6.0,21600,v1.0-submission,Backlog,8003; 6014,"README.md, docs/, references/, CHANGELOG.md"
8009,8000,Task,Create final release and submission package,Khang,docs,P0,Sprint 6 - Final Deliverables,2026-08-02 18:00,2026-08-02 23:00,2026-08-02,4.0,14400,v1.0-submission,Backlog,8005; 8007; 8008,GitHub Release v1.0-submission and submission evidence
